dataset,budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
scifact,20,dense,7,0.6438255196568979,0.0159323671461442,0.6040569219140648,0.016511315492096494,0.8372161172161172,0.015921837194832308,15.571033540012044,,-0.012703315126646242,-0.01673236816093956,0.025406630253292515,0.0,Dense
scifact,20,minmax_fusion,7,0.7002714476381494,0.015337977640187905,0.6694389208674922,0.018320070856551813,0.8623443223443223,0.01064584235689245,21.462528736689517,,0.04374261285460512,0.04864963079248795,-0.03103929772795885,2.6115945566625016,Min-max fusion
scifact,20,rrf,7,0.6965040884228774,0.016056868985995565,0.6545848595848597,0.017483918996225024,0.8879853479853479,0.012640989729174013,21.462528736689517,,0.03997525363933317,0.033795569509855246,-0.027271938512686895,2.4379141567712765,RRF
scifact,20,validation_weighted_fusion,7,0.7034085031861091,0.014368078033992333,0.6703162974591547,0.015174712433632461,0.8709890109890109,0.018449324408953357,21.462528736689517,0.5285714285714286,0.046879668402564856,0.049527007384150265,-0.03417635327591858,2.8112303944241326,Validation-weighted fusion
scifact,20,zscore_fusion,7,0.7095931551766919,0.016607026050626986,0.6758299901157044,0.01913598036309527,0.8813919413919413,0.01160272431570655,21.462528736689517,,0.053064320393147665,0.05504070004070004,-0.04036100526650139,3.0220761698931047,Z-score fusion
scifact,50,bm25,7,0.6692321499101904,0.012989413730669277,0.6375216582359439,0.014981724944026607,0.8718925518925519,0.010447580741012609,5.8914951966774725,,0.012703315126646273,0.01673236816093961,0.0,1.0,BM25
scifact,50,dense,7,0.6438255196568979,0.0159323671461442,0.6040569219140648,0.016511315492096494,0.8923076923076924,0.013421797259797323,15.571033540012044,,-0.012703315126646242,-0.01673236816093956,0.025406630253292515,0.0,Dense
scifact,50,minmax_fusion,7,0.7061026406134445,0.013354745086895988,0.6740249433106575,0.016688075203123365,0.9197802197802198,0.012847346765012336,21.462528736689517,,0.04957380582990031,0.053235653235653255,-0.03687049070325404,2.8239994843620573,Min-max fusion
scifact,50,rrf,7,0.6921700270915191,0.013657933336313564,0.6508160358160359,0.016449123319817432,0.9402930402930403,0.009607037483961812,21.462528736689517,,0.03564119230797485,0.03002674574103145,-0.022937877181328576,2.1515273907119363,RRF
scifact,50,validation_weighted_fusion,7,0.7084832387572378,0.01135840055116129,0.6747467876039305,0.0136853582161616,0.9234432234432235,0.02111449701706209,21.462528736689517,0.5714285714285714,0.05195440397369359,0.05395749752892609,-0.03925108884704731,2.9694874402047775,Validation-weighted fusion
